set_name,instance_name,nodes,arcs,k_zero,density,scenarios,budget,policies,rep,solver,subsolver,objective,time_ms,unbounded,optimal,gap,cuts_rounds,cuts_added,avg_cbtime,avg_sptime,partition,m_sym,g_sym
layer,layer-52_5-5_0,52,420,5,0.158371,5,5,1,0,BENDERS,DIJ,985,4408,FALSE,TRUE,0,11,55,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_0,52,420,5,0.158371,5,5,2,0,BENDERS,DIJ,1001.000001,12492,FALSE,TRUE,0,32,160,0,0,1-0-1-0-1,2,-1
layer,layer-52_5-5_0,52,420,5,0.158371,5,5,3,0,BENDERS,DIJ,1094,110213,FALSE,TRUE,0,59,295,0,0,2-0-2-1-1,2,-1
layer,layer-52_5-5_0,52,420,5,0.158371,5,5,4,0,BENDERS,DIJ,1106,39928,FALSE,TRUE,0,166,830,1,0,1-2-0-3-3,2,-1
layer,layer-52_5-5_0,52,420,5,0.158371,5,5,5,0,BENDERS,DIJ,1111.017949,3600000,FALSE,FALSE,0.010785,244,1220,0,0,0-2-3-4-1,2,-1
layer,layer-52_5-5_3,52,420,5,0.158371,5,5,1,3,BENDERS,DIJ,963.000001,3951,FALSE,TRUE,0,6,30,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_3,52,420,5,0.158371,5,5,2,3,BENDERS,DIJ,999,8781,FALSE,TRUE,0,41,205,0,0,1-0-1-0-1,2,-1
layer,layer-52_5-5_3,52,420,5,0.158371,5,5,3,3,BENDERS,DIJ,1011.000001,517735,FALSE,TRUE,0,78,390,0,0,2-1-1-0-2,2,-1
layer,layer-52_5-5_3,52,420,5,0.158371,5,5,4,3,BENDERS,DIJ,1019,17771,FALSE,TRUE,0,113,565,0,0,3-0-3-1-2,2,-1
layer,layer-52_5-5_3,52,420,5,0.158371,5,5,5,3,BENDERS,DIJ,1108.007741,3600000,FALSE,FALSE,4.841004,355,1775,0,0,2-3-1-4-0,2,-1
layer,layer-52_5-5_8,52,420,5,0.158371,5,5,1,8,BENDERS,DIJ,986,5756,FALSE,TRUE,0,12,60,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_8,52,420,5,0.158371,5,5,2,8,BENDERS,DIJ,1004,8461,FALSE,TRUE,0,37,185,0,0,1-0-1-0-1,2,-1
layer,layer-52_5-5_8,52,420,5,0.158371,5,5,3,8,BENDERS,DIJ,1023,56271,FALSE,TRUE,0,79,395,0,0,0-1-1-2-2,2,-1
layer,layer-52_5-5_8,52,420,5,0.158371,5,5,4,8,BENDERS,DIJ,1111.028811,3600000,FALSE,FALSE,0.000874,196,980,0,0,1-3-3-2-0,2,-1
layer,layer-52_5-5_8,52,420,5,0.158371,5,5,5,8,BENDERS,DIJ,1111,3600000,FALSE,FALSE,4.155574,236,1180,0,0,1-2-3-0-4,2,-1
layer,layer-52_5-5_6,52,420,5,0.158371,5,5,1,6,BENDERS,DIJ,964.000001,4209,FALSE,TRUE,0,7,35,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_6,52,420,5,0.158371,5,5,2,6,BENDERS,DIJ,1008,15162,FALSE,TRUE,0,42,210,1,0,1-0-0-1-1,2,-1
layer,layer-52_5-5_6,52,420,5,0.158371,5,5,3,6,BENDERS,DIJ,1015,76363,FALSE,TRUE,0,80,400,0,0,2-1-1-0-2,2,-1
layer,layer-52_5-5_6,52,420,5,0.158371,5,5,4,6,BENDERS,DIJ,1019,11952,FALSE,TRUE,0,99,495,0,0,3-0-1-2-3,2,-1
layer,layer-52_5-5_6,52,420,5,0.158371,5,5,5,6,BENDERS,DIJ,1115.001445,3600000,FALSE,FALSE,0.00538,285,1425,0,0,3-1-2-0-4,2,-1
layer,layer-52_5-5_9,52,420,5,0.158371,5,5,1,9,BENDERS,DIJ,971,3077,FALSE,TRUE,0,8,40,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_9,52,420,5,0.158371,5,5,2,9,BENDERS,DIJ,991.003339,61885,FALSE,TRUE,0,44,220,1,0,1-1-0-0-1,2,-1
layer,layer-52_5-5_9,52,420,5,0.158371,5,5,3,9,BENDERS,DIJ,1010,263806,FALSE,TRUE,0,94,470,0,0,2-0-2-1-1,2,-1
layer,layer-52_5-5_9,52,420,5,0.158371,5,5,4,9,BENDERS,DIJ,1071,14538,FALSE,TRUE,0,116,580,0,0,3-1-3-0-2,2,-1
layer,layer-52_5-5_9,52,420,5,0.158371,5,5,5,9,BENDERS,DIJ,1108.004632,3600000,FALSE,FALSE,5.37259,246,1230,0,0,3-4-0-2-1,2,-1
layer,layer-52_5-5_2,52,420,5,0.158371,5,5,1,2,BENDERS,DIJ,968,873,FALSE,TRUE,0,16,80,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_2,52,420,5,0.158371,5,5,2,2,BENDERS,DIJ,994.000039,51191,FALSE,TRUE,0,41,205,0,0,1-1-1-0-0,2,-1
layer,layer-52_5-5_2,52,420,5,0.158371,5,5,3,2,BENDERS,DIJ,1004,152744,FALSE,TRUE,0,73,365,0,0,0-1-1-2-2,2,-1
layer,layer-52_5-5_2,52,420,5,0.158371,5,5,4,2,BENDERS,DIJ,1011,14847,FALSE,TRUE,0,102,510,0,0,0-1-3-3-2,2,-1
layer,layer-52_5-5_2,52,420,5,0.158371,5,5,5,2,BENDERS,DIJ,1109.011098,3600000,FALSE,FALSE,4.201317,250,1250,0,0,4-0-1-2-3,2,-1
layer,layer-52_5-5_1,52,420,5,0.158371,5,5,1,1,BENDERS,DIJ,970,3157,FALSE,TRUE,0,9,45,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_1,52,420,5,0.158371,5,5,2,1,BENDERS,DIJ,1008,24540,FALSE,TRUE,0,34,170,0,0,1-1-0-1-0,2,-1
layer,layer-52_5-5_1,52,420,5,0.158371,5,5,3,1,BENDERS,DIJ,1016,142927,FALSE,TRUE,0,96,480,0,0,2-0-2-1-1,2,-1
layer,layer-52_5-5_1,52,420,5,0.158371,5,5,4,1,BENDERS,DIJ,1038,15174,FALSE,TRUE,0,125,625,0,0,0-1-3-3-2,2,-1
layer,layer-52_5-5_1,52,420,5,0.158371,5,5,5,1,BENDERS,DIJ,1103.022007,3600000,FALSE,FALSE,7.473635,222,1110,0,0,0-1-3-4-2,2,-1
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,1,7,BENDERS,DIJ,983,4101,FALSE,TRUE,0,10,50,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,2,7,BENDERS,DIJ,995.000001,10637,FALSE,TRUE,0,32,160,1,0,1-0-0-1-1,2,-1
